,country,year,iso_code,population,gdp,variable,value,energy_source,type,unit,source
1952,Oceania,2013,,39057783.0,,biofuel_cons_per_capita,75.464,biofuel,cons,kilowatt-hours,biofuel
1953,Oceania,2014,,39729340.0,,biofuel_cons_per_capita,76.358,biofuel,cons,kilowatt-hours,biofuel
1954,Oceania,2015,,40403644.0,,biofuel_cons_per_capita,59.835,biofuel,cons,kilowatt-hours,biofuel
1955,Oceania,2016,,41101240.0,,biofuel_cons_per_capita,45.99,biofuel,cons,kilowatt-hours,biofuel
1956,Oceania,2017,,41817267.0,,biofuel_cons_per_capita,44.481,biofuel,cons,kilowatt-hours,biofuel
1957,Oceania,2018,,42540030.0,,biofuel_cons_per_capita,39.706,biofuel,cons,kilowatt-hours,biofuel
1958,Oceania,2019,,43278474.0,,biofuel_cons_per_capita,36.075,biofuel,cons,kilowatt-hours,biofuel
1959,Oceania,2020,,43933757.0,,biofuel_cons_per_capita,29.324,biofuel,cons,kilowatt-hours,biofuel
1960,Oceania,2021,,44492065.0,,biofuel_cons_per_capita,29.35,biofuel,cons,kilowatt-hours,biofuel
1961,Oceania,2022,,45038860.0,,biofuel_cons_per_capita,31.03,biofuel,cons,kilowatt-hours,biofuel
2324,South America,2013,,405147963.0,,biofuel_cons_per_capita,488.506,biofuel,cons,kilowatt-hours,biofuel
2325,South America,2014,,409128901.0,,biofuel_cons_per_capita,530.44,biofuel,cons,kilowatt-hours,biofuel
2326,South America,2015,,413134461.0,,biofuel_cons_per_capita,608.335,biofuel,cons,kilowatt-hours,biofuel
2327,South America,2016,,417101806.0,,biofuel_cons_per_capita,558.317,biofuel,cons,kilowatt-hours,biofuel
2328,South America,2017,,420982650.0,,biofuel_cons_per_capita,569.716,biofuel,cons,kilowatt-hours,biofuel
2329,South America,2018,,424740741.0,,biofuel_cons_per_capita,643.812,biofuel,cons,kilowatt-hours,biofuel
2330,South America,2019,,428318218.0,,biofuel_cons_per_capita,700.725,biofuel,cons,kilowatt-hours,biofuel
2331,South America,2020,,431530105.0,,biofuel_cons_per_capita,629.993,biofuel,cons,kilowatt-hours,biofuel
2332,South America,2021,,434254167.0,,biofuel_cons_per_capita,626.588,biofuel,cons,kilowatt-hours,biofuel
2333,South America,2022,,436816679.0,,biofuel_cons_per_capita,626.663,biofuel,cons,kilowatt-hours,biofuel
2789,Africa,2013,,1140180888.0,,biofuel_consumption,0.596,biofuel,consumption,terawatt-hours,biofuel
2790,Africa,2014,,1170299297.0,,biofuel_consumption,0.583,biofuel,consumption,terawatt-hours,biofuel
2791,Africa,2015,,1201108186.0,,biofuel_consumption,0.737,biofuel,consumption,terawatt-hours,biofuel
2792,Africa,2016,,1232111820.0,,biofuel_consumption,0.68,biofuel,consumption,terawatt-hours,biofuel
2793,Africa,2017,,1263333997.0,,biofuel_consumption,0.668,biofuel,consumption,terawatt-hours,biofuel
2794,Africa,2018,,1295265310.0,,biofuel_consumption,1.015,biofuel,consumption,terawatt-hours,biofuel
2795,Africa,2019,,1327701380.0,,biofuel_consumption,0.879,biofuel,consumption,terawatt-hours,biofuel
2796,Africa,2020,,1360677453.0,,biofuel_consumption,0.908,biofuel,consumption,terawatt-hours,biofuel
2797,Africa,2021,,1393676724.0,,biofuel_consumption,1.08,biofuel,consumption,terawatt-hours,biofuel
2798,Africa,2022,,1426736614.0,,biofuel_consumption,0.825,biofuel,consumption,terawatt-hours,biofuel
2872,Antarctica,2013,ATA,,,biofuel_consumption,,biofuel,consumption,terawatt-hours,biofuel
